job_id,role_name,company_name,location,link
0,Data Engineering Lead - X Delivery,Boston Consulting Group,"São Paulo, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JHIs518z05y2Hkthhkl8A2ZaJ3Oan10XgsJQFMgLbIKIa39-4xH610Gwn3f_nJtt6x5DWCFmvb8LjMqiZQIEx4jZYvmqsH4dDTfOAoIrVt0ILQHyf9OhCfy54w3T8Er2rKy0uNnNPBQ65tYjMD-ldqDXLvOGzipNNu9p_5RLez1zBhifnjtBponZy-a84682_v6zQ5IXqsbhWIdVD-SvZkyglhovxuwyTHplZgqJQ1WpVTbpg0Btbb0XklvIR44dxKF7FJM_crJIBrsc8fyAv4rMQXBbmctn3Fg6kIyFxv6Cf-66uXbfH5lwoXaq-8_kYVYye9YEyYb7IUUC7bt6YENb4J2-DKUdsknBXqu4mj8zCxmzIw1Diuf3wXQ993Ba0xuEqP5TLQocQYJqvrSNx0ooyyL8gvyh8zy48yiqdAzgLHrlNac0AuprY0oWxeRcrhV03uuxy5IhbudexrI6CD7m8Bj3A5I98NRElPDopio6vOOnLlfpBf7ucY0ujN3qW3SPqdrsHCNIpoEQk1SsLnvxvhMznOEqmSS3DLFHnKSkiogCyJddai1lA0X--hJNiMC91dQx7bmKGwLPxAasVECdFh1S1llVi0fnkhwWYyndr8HI5vKidb5O9J-dKqKppfU0XiedcS4-aHHVcAj6pwn-rOaxznNsy8D5hI1RtpbYQF5K53ENnZ594UCyVuNpJ_5UDtgC_WkTGLejXt3bjds77B7V6JHv5do-uQ8g5-mS8UMZiQYex46jIPZosplL6dI_zIpLdI4OIwgU1Dl-MowYQPttSJ9Q27KglGL-VMGpUjSTv8Y1iBzpUkaTTMoGVZVCcugZOu4QAalG7X0O0Ewzr-azFtFSSRiVuJeczRzcebYP-SmX4dkGGn8gBdxORluBPQSmtNyKjvRDp-4ITqW3O0zxoFuqvrleIvJJXJWxQ-3XwuPBo4iy0L6VrvpogJCIOhKFN4ObWr-svkDRMl_b6uEmIPfC3Ey7yiMJApyIrFBGQg8xpSrlHDEzupmYai5M5jLYSYo34mwlbpdEhRV14XVLKvOYOxkx22j5HLFoZIemMsTmN4onNCj5_QoPbnTS50mENRX7KWU66YHrVCds4HEfhZRyPsEgKK37RW8JrLAk9YQsUHixkdsUdaJkwGVORns9DaXXgAg75dVR4nnbpUmeOwaMveY8BWREQfRKiBcdOPISDZXUIhPOkgrHbcaX90vO41Jtn-CVHQPXxFW3SUmEqritMdvChiUeraasqkh79QLgPO4=&xkcb=SoDC6_M3EEV6rTwnBJ0LbzkdCdPP&camk=4HOcmqOLYrBcVZ4KQ_MG6A==&p=0&fvj=0&vjs=3
1,QA Automação Sênior / Pesquisa e Desenvolvimento - Trabalho Remoto,BairesDev,"Home office in Manaus, AM",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-K09aYJ3Y7cb2ftg554nJs8HppoYa9nN8qkXggNeNsqK2G_0qzRYmYeIDKDFIBHtTD_gXDibRr4EizBIiH2KdveodEFlc1JvVTCzpEY8Sk5Qv088btosAh9iPNJug8bIXv_m9rN191dp1UPaYSgb-28e2ge5lZhqNJBk2YjVUsMY2I4aIQ5Y6gYYhJZpGVsINin4FKJuI4yMNGeQeh-VP97HthZGTTwvnRb0MXSkI2Efk_akYug5k4Eue0fiYh0wgbMIi4jmowUUJIqqNedmLatm58fnEnfDycLiWr1Rh8ESR7TEGSaLPOixCzZtseNOnKW266mfm_AWDcaPsbaJj0FrA5LsUAHLgKYVlPdcm5mcSh4jJxBcEMEFhaBt1p5L9klyifVjn7Hi-06-PtxtKwLhIVfqQXPQq7GHEQ2Js378w_KGA7s4CmvpQYDl5uRwy9ezQ_xETyYXyP_4x6reVUz8CkctEPSxUGvjmIt8ZCD6M4bxnXEuSDcSWTtHeRf6y_RSj-qqy5yS7qnvdNgjyrDNFpBC6oTFfMVT8z3uXvGljEDgTSjEBe0rtUC8p66y8lTnFBD2rXBUMmHBuaVvDTSlFpuL31BpQYyAD6Z0dV7sfHwdRKnAL_SXN96iX2C8CiZ28BXlZZ8bf63betjjfIAoywt8Pl7T3Q==&xkcb=SoB26_M3EEV6rTwnBJ0KbzkdCdPP&camk=f416UQcMBpBh4BbPTt0PyA==&p=1&fvj=0&vjs=3
2,Desenvolvedor FullStack PL (Java + Python),Stefanini Group,,https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHzEfP8_JanJDOPoRLoveMwBdQTX56t42KRVvrxe8yrh4gdeIaby-Mj3GU0aJ22wYUvsfT9CFuJ8LUf6-235siSx80ZLbDdsGyn0my_Ft6KkasaZaUjgp_qiDpRSqdiZoAJuWZqw9bg8A0xK5K0PG7zoUjXGCR1wfzUVIZ0vxVyqzSVPEqdCMm9tvhsBukFyk1UwN1eZRjxOAMGIzKp2hVLqIRShESv5CyykOsQfwITG5pv9NrwP3DO2PNvkNMU56F6m77gCd5PW1xlyZhCPRM-HFp5JkR7Ub25MGNiFHFXDid5d1nWik3xzy8SCQhPQE-ko2UK_NreZ3BUtO3s2qdwFbThpt3qtWKlNIDGFMYDs7HCJ1j5EWolmAl7bt6G7W4pim5h_cWiKDUjTYBLpD3yVzSed85pxLKP3XvpxhgfWgPkk3iCAtfdgVfvpAAOaUOSdlOV5IsCAU-H0qIfLIoEG6DUVUgrU8NokD-K79J6cnJdWF4NPdFa9HDo2dWQBFgdF0fMal7wC-rPrVAKbkq3ibiK2Fd9y4z9V5QE9O9S8n4vUYlBahfcjkFTdCQXjjrdc7gW5zG8yo0N9jv4sG-WO67WQJ_v9oypkR4I_5C0JtbxPcih6160gMoq5OfoUJ6Cc-MFlUvgL_p_6MPLyd80HMmHs22-A5A5fWjEhtq88KuDT1-RkAvcb32kUijn5Cqe5t_1HfJXxowSKb_bzSIDsBW2qVXbXAqL_5oNvoeyKJhL5CTmMpK1M3Ri7OHVcTGKBX829dpyIywOXOPxcRSvafZGULzybdFsWKXh4D62DJuz_99aKRHFpNtmy13abPwXwNmseNDlI-UdLdBCAkDaaVweq7IfxK0arhPVSahSyfi70ySvljY3vDzPGJ36x-yu64e7dlUkauvtv_9_tcMyzy5LVx-NVbCvvSn9qsIHC09nnCXnCBTqP_psCJ8H73DFMZITyeh8oLVg9Al00PR&xkcb=SoDr6_M3EEV6rTwnBJ0JbzkdCdPP&camk=f416UQcMBpCj9PVhlcbIWA==&p=2&fvj=0&vjs=3
3,PESSOA DESENVOLVEDORA PYTHON,MV,"Recife, PE",https://br.indeed.com/rc/clk?jk=1b3fcc0030e85901&bb=cdNytVHAqw7-mr9M0jPQnchSuYmQ9Frtvj3uhMnCoaLpoLZZiHywCR4kaUdumBWQTOiguUs4jic8bZDWDch2f9xmQomSmBa56W0N39uH1jo%3D&xkcb=SoCr67M3EEV6rTwnBJ0IbzkdCdPP&fccid=95da9509987145f2&vjs=3
4,Estágio TI/DEV Full Stack Python.,Educa Estudos de Mercado Ltda.,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=07211f9623443351&bb=cdNytVHAqw7-mr9M0jPQnfbrN4BWJmdFf4WnWeb7A98TOb5kudFAPA5736Fs4ykt8nuOI7xztNdDwsJqISsx9u4YGJQjnfFVfB00pdmIMB8%3D&xkcb=SoAl67M3EEV6rTwnBJ0PbzkdCdPP&fccid=f422cddbec8c5e88&cmp=Educa-Estudos-de-Mercado-Ltda.&ti=Desenvolvedor+Pleno&vjs=3
5,Arquiteto Python Backend / P&D - Remoto,BairesDev,"Home office in Campinas, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfEGkshao4EhrCCf7LYqKO8VNtf9vkQrewuI3DmTR_-K09aYJ3Y7cbWU5-encw0MxunSS-oi5EeDwFWuE0InqG1EUvMns3O_dkGzh89-1-6Qm6vlrj9uR7J4vgvxqbKwpcmgOLP2w_5KLHxefC81cV87ZvoUG86MmQJ3CmahAZw8pruOg6va2JmjJq060ibRd5yDHKS7MnJUu7fnsXIEs1brNA_czpHk3x8mAmUmH6DMDZGWoooQpaTeglujuB703_hHPMTt2JOrTYqoKKyv_TkqTWgf6IvlyO2W6UWcNMTwPEdue5HNl6dCBmBmtWQjFcCRpsl24XrzlZ1eXeGkdCXMbayp8LeeQw1_6qCIQjesEyxtYPQO9ZYJuoFjMT_nY1QW6qFJW1I7h9fNO7wtWSl9ON7fnjuYX7rSCcKS123_filuOTEd6itkeNqbBJdS3HycEbzfPTjxXVbyHJaQGTABGVkgVq94HzWba-kD56tDvhQHsnqwf4qVRMPSrtZwa_Y6Q0dBijIMPz-6AMCzdlfVJuv0Mwep7Ugumy5zuSgHwdlxtmb7XZ-zQQpUVce8lkpHyft0K98o_ZmUtXsL1bpKW4n7d4OZQ965sYa5zyqX4FlSaUT0KRR7hFP01xgKpaO2_iGjAA0AwwlNv-25hdy70exq5p__1LJ5ERnIeVgko6ztY2WmJXKWpAZOscpjzT5XqkEAwaHA==&xkcb=SoBl6_M3EEV6rTwnBJ0ObzkdCdPP&camk=f416UQcMBpDXHUpyaYic4A==&p=5&fvj=0&vjs=3
6,Analista de SOC Senior,Grupo NTSEC,"Fortaleza, CE",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CppVJgKQzKF-AigKhU7s8eyBUE9xthPBAzOQZ8iP1LFvaSGYHlIQjQQfgiZcZZRhBCm-z_ql9oTopyqMhSDuCMX2EbOb8CRg_ezEJUVjspysXrTkEWtUhWgmmYe33tQfOSy_kAoIc71VEMqErCXyRT-pjxOj3kdv6nSmVADI_3uRhUf2c6vU7qSHsKE_4bXvDr5WlkHeckvbR8bRb7wndL45YkjoTjjXcptLddzMJ4na-E7to-7I6lzoKWJv1clRlk6R55RdyVq3w5RB3rsSX4VyEgAK9xO3D2Ey7qVcyf2DtoQWVQtJsgRZpM-6imQlZM_iNCeBDY6lS-naTKWObmZARfY3trxFmAlLRuzF2E-wEOj6pj6tERqKRhXritEZXw6wdA8H3RHUx7OAzJUKIyUy3-SMEq49suWz75OuuXTz0gsui0H80A3MDfZacw4WFzyoxML9hOL26TKyfA4mw8co0xJDZnCoS08f_n9tpgkuV6sHV_H0NxF3Jb0372WzsFqK82M-UCkCh-SCBOO0EI4gUg9Jjv2CbuuzdJVIfGCGk5FInKSe8MigDs_iCwyaRAUmupOCS5IPgDRCEMI-as83BsIiC3Mrcz75nTBpQPS8kMb5VpRtSiRiR8bC9RLHNVSQS_KCSvtWYh-AiiqigjeK07PMruf7o5ZCp6eozd6PCbpcD1FXPeX-RFp8DEfC1EJ7pX0cgVeL75yZrgVqZtYkZpnNDsUKbryVMseTqI4SVwJITtiwxlbQ7Hvu3ZEkS3W3VfBjM6PqrCUk3kTi0tM29HgXNprSZWdSchZkaNAGl78utOs8e8tFUF6Q7pvS7FRsW5EcH6F1kc_nb_MI46d33pPV7Mto55XZCR7F-0WCFLBASpk9MA&xkcb=SoD46_M3EEV6rTwnBJ0NbzkdCdPP&camk=H-lBaXMUocIvYXQ9yYo1ow==&p=6&fvj=0&vjs=3
7,Analista Prevenção à Fraude Sr (Segurança do Produto),Digio,"Barueri, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcjF4Y0eKv0CsWWlZ5x9FrC41SbkkqrPAuVGRE_5Udo6HU-pVpgJFNdcRqGotqWyxAnkFCE5iIceMe7fF-fhJNxfobtFgLixpsbnm7C_J3vgtXFelMDtj2ifLdZ6oMiv9MAGUfBC0qqC9lNH4MyeXXnKYPMuZHvpgfLYdaWXHh7eimQX3BMJKgMo5TdI14hkkIfjnNwRT9Hb1kp3F2lRGt7n0bYtJreU6qn3zvAGy8nm7pet8T7pen8B8pBWpMUxu5A0rFJ0ux6pR4nt6PoxMPD4mbP9rKWFLtixXeg3CXJyBcjqja5-X66gorXt7U_GlGENmyBi6HfcGu_QQ1sSqJCQiBGofPzdaaeltumdKeA7rLs-SEv-qMve4Wps2VOqLhAcjZH7OYjrXuVMjFd1ocaxCMAzgEms7CAnUstayU2t9-M1wyfGXfPWehTcdEEHPayomyX9IRMrI-ut5TaKk8zPPrzqYDXIQ4HoRfCL2LWT6TyyOdbDSHIQlEYsDn0QsGgMX_Dotiqpg1MPzydKTJqWORAF3IgyQjewrJihZ4UyK-OPBhqhDrZ1iAB4kIwALqmJzanw6R7fpih3e32LtZ18ZzWc5-QCp4uYxlLAEGXAFpjEMsC5eRo5cZImNnOSun6cTkxBUgE4LQiEq0gvT_sXYh5VWhpLM=&xkcb=SoBM6_M3EEV6rTwnBJ0MbzkdCdPP&camk=f416UQcMBpC7Zqg-r69rug==&p=7&fvj=0&vjs=3
8,Dev python/django,Netvagas,,https://br.indeed.com/rc/clk?jk=bde36b5f7750f3aa&bb=cdNytVHAqw7-mr9M0jPQnbeU--QPs_9Gmb3qKo8ROMQmp9WG1h0MPw8iadMP4175_cIEi2Hbyu1EgAS5SUqy5FTSgDFKoXwPYr6etTwMvcA%3D&xkcb=SoBR67M3EEV6rTwnBJ0DbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
9,Estágio em Programação de IA,Korp,,https://br.indeed.com/rc/clk?jk=a037349a95389c6e&bb=cdNytVHAqw7-mr9M0jPQneLFIWhcVcJw7qht-3UrQeUK8_oGkoUz45w1o6W4IICMJnxvfeCbxKdojxcGBe_lypVBuPyY_GYT9CsERMc5SS4%3D&xkcb=SoDl67M3EEV6rTwnBJ0CbzkdCdPP&fccid=d7cda233e70b60b4&vjs=3
